2026-04-15 06:52:13 | INFO | Inference worker thread stopped
2026-04-15 06:52:13 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-15 06:52:13 | INFO | Resources cleaned up successfully
2026-04-15 06:54:44 | INFO | Starting server on 0.0.0.0:8081
2026-04-15 06:54:44 | INFO | Server configuration complete.
2026-04-15 06:54:44 | INFO | Starting Uvicorn server...
2026-04-15 06:54:44 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:54:51 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:54:51 | INFO | Inference worker thread started
2026-04-15 06:54:51 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-15 06:54:51 | INFO | MLX handler initialized successfully
2026-04-15 06:59:04 | INFO | Shutting down application
2026-04-15 06:59:04 | INFO | Cleaning up resources
2026-04-15 06:59:04 | INFO | Cleaning up MLXVLMHandler resources
2026-04-15 06:59:04 | INFO | Inference worker thread stopped
2026-04-15 06:59:05 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-15 06:59:05 | INFO | Resources cleaned up successfully
2026-04-15 07:12:40 | INFO | Starting server on 0.0.0.0:8081
2026-04-15 07:12:40 | INFO | Server configuration complete.
2026-04-15 07:12:40 | INFO | Starting Uvicorn server...
2026-04-15 07:12:40 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 07:12:45 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 07:12:45 | INFO | Inference worker thread started
2026-04-15 07:12:45 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-15 07:12:45 | INFO | MLX handler initialized successfully
2026-04-15 07:18:29 | INFO | Shutting down application
2026-04-15 07:18:29 | INFO | Cleaning up resources
2026-04-15 07:18:29 | INFO | Cleaning up MLXVLMHandler resources
2026-04-15 07:18:29 | INFO | Inference worker thread stopped
